Province,Temple
สระบุรี,วัดพระพุทธบาทราชวรมหาวิหาร
,วัดเขาแก้ววรวิหาร
,วัดสมุหประดิษฐาราม
,วัดมงคลชัยพัฒนา
,วัดแก่งคอย
,วัดบ้านม่วง
,วัดกะเหรี่ยงคอม้า
,วัดเขาสะท้อนสูง
,วัดคลองไผ่สามัคคีธรรม
,วัดตาดใต้
,วัดบำรุงธรรม
,วัดบึงไม้
,วัดโคกกรุง
,วัดชำผักแพว
,วัดบ้านดง
,วัดป่าไผ่
,วัดวังแพ
,วัดสุนทริกาวาส
,วัดเกตุแก้ว
,วัดขอนหอม
,วัดโคกสะอาด
,วัดจำศีล
,วัดตาลเดี่ยว
,วัดนาบุญ
,วัดราษฎร์พัฒนา
,วัดใหม่สามัคคี
,วัดเตาปูน
,วัดบำเพ็ญธรรม
,วัดใหม่โพธิ์งาม
,วัดเขามันธรรมาราม
,วัดซับบอน
,วัดถ้ำพระโพธิสัตว์
,วัดทับกวาง
,วัดบ้านโป่ง
,วัดบำเพ็ญบุญ
,วัดวาลุการาม
,วัดสามัคคีวราราม
,วัดสิทธิราช
,วัดเขาหินดาด
,วัดคำใหญ่
,วัดถ้ำเต่า
,วัดถ้ำประกายแก้ว
,วัดท่าเกวียน
,วัดท่าคล้อใต้
,วัดท่าคล้อเหนือ
,วัดท่าศาลา
,วัดท่าสบก
,วัดหาดสองแคว
,วัดท่าศรีโพธิ์ใต้
,วัดท่าศรีโพธิ์เหนือ
,วัดเขาแก้ววนารามล
,วัดท่ามะปราง
,วัดโป่งมงคล
,วัดท่ากระเบา
,วัดบ้านธาตุใต้
,วัดบ้านธาตุเหนือ
,วัดเขาพระ
,วัดบ้านช่อง
,วัดบ้านช่องใต้
,วัดบ้านป่า
,วัดบ้านป่าใต้
,วัดป่าเกษม
,วัดวังกวาง
,วัดหนองมะค่า
,วัดแก่งป่าสัก
,วัดปรางคล้อ
,วัดพระพุทธบาทน้อย
,วัดสองคอนกลาง
,วัดสองคอนใต้
,วัดสองคอนเหนือ
,วัดสีทาใต้
,วัดสีทาเหนือ
,วัดหนองน้อย
,วัดเขาลาดวนาราม
,วัดนาดี
,วัดบ้านไร่
,วัดบุใหญ่
,วัดหนองน้ำเขียว
,วัดหนองสองห้อง
,วัดห้วยคงคาวราวาส
,วัดถ้ำเขาเขียว
,วัดท่าเดื่อ
,วัดนิคมซอย
,วัดผังพัฒนาราม
,วัดสาย
,วัดหินซ้อนใต้
,วัดป่ามหาวีรวงศ์
,วัดป่าสว่างบุญ
,วัดศรีเทพนิมิตวนาราม
,วัดพระธาตุเจริญธรรม
,วัดป่าดงพญาเย็น
,วัดถ้ำญาณสังวร
,วัดเขาดิน
,วัดถ้ำเจริญสุข
,วัดบ้านกอก
,วัดประดิษฐ์ธรรม
,วัดลาดเขาปูน
,วัดสุนันทาราม
,วัดสูงยาง
,วัดท่าวัว
,วัดผึ้งรวง
,วัดเพลียขวา
,วัดแพะโคก
,วัดห้วยหินขาว
,วัดโคกดินแดง
,วัดประสิทธิ์พรชัย
,วัดพุแค
,วัดสามัคคีธรรม
,วัดหนองหว้า
,วัดคีรีวง
,วัดคุ้งเขาเขียว
,วัดซอย
,วัดซอยสิบ
,วัดถ้ำวิมานแก้ว
,วัดป่าดำรงธรรม
,วัดหน้าพระลาน
,วัดป่าคา
,วัดสาธุประชาสรรค์
,วัดหนองม่วง
,วัดห้วยบง
,วัดศรัทธาประชากร
,วัดโคกโพธิ์
,วัดดอนทอง
,วัดดอนพุด
,วัดหนองกะทะ
,วัดช้าง
,วัดหนองมน
,วัดบ้านรี
,วัดไผ่หลิ่ว
,วัดหลังคาแดง
,วัดอ้อมแก้ว
,วัดโคกใหญ่
,วัดหนองนางปุ๋ย
,วัดโคกมะขาม
,วัดโบสถ์แจ้ง
,วัดโพธิ์ทอง
,วัดธรรมเสนา
,วัดสารภี
,วัดสุนทรเทพมุนี
,วัดบางขวัญ
,วัดบ้านครัว
,วัดม่วงน้อย
,วัดมหาโลก
,วัดบ้านหมอ
,วัดมะขามเรียง
,วัดหนองพันเรือ
,วัดโคกงาม
,วัดบ่อพระอินทร์
,วัดปัญจาภิรมย์
,วัดราษฎร์บำรุง
,วัดสร่างโศก
,วัดโคกเสลา
,วัดหนองเขศรีมงคล
,วัดหนองคล้า
,วัดหนองถ่านใต้
,วัดหนองบัว
,วัดโคกกุ่ม
,วัดจั่นเสือ
,วัดเขาพลัด
,วัดเขาวง
,วัดซับชะอม
,วัดบ้านน้อย
,วัดเขาบรเพ็ด
,วัดตรีบุญญาราม
,วัดปราสาททรงธรรม
,วัดพุขามหวาน
,วัดสายตรี
,วัดโกมลกิตติ
,วัดซอยสี
,วัดซับครก
,วัดดงมณี
,วัดนายาว
,วัดราษฎร์ศรัทธาธรรม
,วัดสวนมุตโตทัย
,วัดกัลยาณบรรพต
,วัดเทพประทาน
,วัดพุกร่าง
,วัดหนองคณฑี
,วัดหนองสองตอน
,วัดนิคมเขมาราม
,วัดนิคมพัฒนา
,วัดนิคมวาสี
,วัดนุตจรัสวงศาราม
,วัดบ่อวงครุ
,วัดเบญจคีรี
,วัดพรหมประสิทธิ์
,วัดพุคำจาน
,วัดพุซาง
,วัดหนองกระทุ่ม
,วัดหนองใหญ่
,วัดตาลเสี้ยน
,วัดเนินยาว
,วัดประดู่
,วัดศรีอัมพร
,วัดส้มป่อย
,วัดสวนสำราญ
,วัดหนองแก
,วัดหนองเครือตาปลา
,วัดหนองจิก
,วัดหนองโดนน้อย
,วัดเขตสว่าง
,วัดดอยหินปูน
,วัดบ้านโพธิ์
,วัดศรีจอมทอง
,วัดหนองถ่านเหนือ
,วัดหนองโป่ง
,วัดหนองสุทธะ
,วัดใหม่สุวรรณโน
,วัดศรีนิคมาราม
,วัดเขาเงิน
,วัดธารเกษม
,วัดพุทธนิคม
,วัดพุคำบรรพต
,วัดปากคลอง
,วัดซับกระดาน
,วัดซับขาม
,วัดซับตะเคียน
,วัดซับสนุ่น
,วัดซับเหว
,วัดถ้ำธรรมโอสถ
,วัดบ้านหมาก
,วัดบ้านหินลับ
,วัดปิ่นแก้วสามัคคี
,วัดมวกเหล็กนอก
,วัดหลังเขา
,วัดเหวลาด
,วัดคั่นตะเคียน
,วัดธนพัฒนาราม
,วัดประชาวิจิตร
,วัดพุทธนิมิต
,วัดมวกเหล็กใน
,วัดเขานมนาง
,วัดคลองม่วงเหนือ
,วัดซับน้อยเหนือ
,วัดถ้ำดาวเขาแก้ว
,วัดป่าศรีอุทุมพร
,วัดลำพญากลาง
,วัดหนองตอตะเคียน
,วัดหนองเอี่ยว
,วัดหนองเอี่ยวใน
,วัดซับดินดำ
,วัดลำสมพุง
,วัดกลุ่มพระบาท
,วัดคลองไทร
,วัดซับลำใย
,วัดสวนทองรวมมิตร
,วัดสัจจะพล
,วัดหนองผักหนอก
,วัดกุดนกเปล้า
,วัดโคกเพ็ก
,วัดเจริญราษฎร์บำรุง
,วัดทุ่งสาริกา
,วัดโนนสภาราม
,วัดถนนเหล็ก
,วัดหัวถนน
,วัดโตนด
,วัดป่าสัก
,วัดตลิ่งชัน
,วัดท่าเยี่ยม
,วัดห้วยลี่
,วัดตะกุด
,วัดบ้านกล้วย
,วัดสะตือ
,วัดหงษ์ดาราวาส
,วัดปากข้าวสารใต้
,วัดปากข้าวสารเหนือ
,วัดสุวรรณคีรี
,วัดแก่งขนุน
,วัดเขาคูบา
,วัดเจดีย์งาม
,วัดเชิงเขา
,วัดดาวเรือง
,วัดดาวเสด็จ
,วัดทองพุ่มพวง
,วัดบ้านบึง
,วัดบ้านอ้อย
,วัดศรีบุรีรตนาราม
,วัดศาลาแดง
,วัดหนองโสน
,วัดนาร่อง
,วัดป๊อกแป๊ก
,วัดหนองโนใต้
,วัดหนองโนเหนือ
,วัดโคกหนามแท่ง
,วัดบ้านพลับ
,วัดพระพุทธฉาย
,วัดอรัญญวาสี
,วัดหนองขริ้น
,วัดหนองเขื่อนช้าง
,วัดหนองจักร
,วัดหนองยาวใต้
,วัดหนองยาวสูง
,วัดคำพราน
,วัดดงน้ำฉ่า
,วัดดงมะเกลือ
,วัดตะพานหิน
,วัดท่าระหัด
,วัดปากน้ำ
,วัดภิบาลวังม่วง
,วัดมณีขวัญชัย
,วัดคลองมะเกลือ
,วัดซับกระทิง
,วัดป่าลานหินดาด
,วัดโป่งเก้ง
,วัดโป่งตะขบ
,วัดวังม่วง
,วัดวังยาง
,วัดสวนมะเดื่อ
,วัดหนองบอน
,วัดหาดเล็บยาว
,วัดปึกสำโรง
,วัดมณีโชติ
,วัดแสลงพัน
,วัดหนองกรดสามัคคี
,วัดหินซ้อนเหนือ
,วัดเขาแก้วธรรมาราม
,วัดคลองยาง
,วัดคลองหัวช้าง
,วัดหนองไทร
,วัดเขาน้อยจอมสวรรค์
,วัดเจริญธรรม
,วัดราษฎร์เจริญ
,วัดโคกกระต่าย
,วัดดงหมี
,วัดบ้านดอน
,วัดพุทธบูชาญาณสังวร
,วัดหนองตาบุญ
,วัดเกาะเซิงหวาย
,วัดบางกง
,วัดบ้านลำ
,วัดสหกรณ์รังสรรค์
,วัดหนองโพธิ์
,วัดหนองสรวง
,วัดหนองฟ้าเลื่อน
,วัดเกาะแก้วอรุณคาม
,วัดคลองใหม่
,วัดสร้างบุญ
,วัดหนองหมูใต้
,วัดศรีสัจจาวาส
,วัดโคกกระท้อน
,วัดปากบาง
,วัดต้นตาล
,วัดท่าช้างใต้
,วัดท่าช้างเหนือ
,วัดห้วยบุญ
,วัดชัน
,วัดบ้านยาง
,วัดเพชร
,วัดศรีอุทัย
,วัดพระยาทด
,วัดโพธิ์
,วัดตะเฆ่
,วัดบ้านกลาง
,วัดบ้านโคก
,วัดม่วงงาม
,วัดมะกรูด
,วัดจันทบุรี
,วัดชุ้ง
,วัดเชิงราก
,วัดบัวงาม
,วัดบ้านซุ้ง
,วัดพะเยาว์
,วัดอัมพวัน
,วัดเจ้าฟ้า
,วัดไผ่ล้อม
,วัดสวนดอกไม้
,วัดสูง
,วัดเสาไห้
,วัดเขาดินใต้
,วัดโคกกะพี้
,วัดบำเพ็ญพรต
,วัดม่วงฝ้าย
,วัดห้วยหวาย
,วัดกุ่มหัก
,วัดสวนกล้วย
,วัดกระทงลอย
,วัดขอนชะโงก
,วัดชัยเฉลิมมิตร
,วัดชัยสิทธิ์อนุสรณ์
,วัดแก้วเกาะลอย
,วัดโคกแดง
,วัดสันติวิหาร
,วัดหนองโนน้อย
,วัดไทยงาม
,วัดบ่อน้ำเค็ม
,วัดสนมไทย
,วัดหนองจอกน้อย
,วัดหนองจอกใหญ่
,วัดหนองผักชีเหนือ
,วัดหนองสมัคร
,วัดบกน้อย
,วัดบัวลอย
,วัดสันมะค่า
,วัดหนองดินแดง
,วัดโคกกลาง
,วัดโพนทอง
,วัดหนองแซงใหญ่
,วัดหนองอ่างทอง
,วัดโคกมะตูม
,วัดใหญ่วันนา
,วัดเกาะกลาง
,วัดมงคลทีปาราม
,วัดสหมิตรมงคล
,วัดเสนานฤมิตร
,วัดหนองพระบาง
,วัดหนองตะเฆ่
,วัดหนองตาเดี้ยง
,วัดหนองรี
,วัดบ้านไผ่
,วัดบ้านจาน
,วัดป่าบำเพ็ญธรรม
,วัดหนองครก
,วัดหนองนาค
,วัดท่าช้าง
,วัดร่องแซง
,วัดหนองปลากระดี่
,วัดหนองปลาหมอ
,วัดหนองผักชีใต้
,วัดทุ่งดินขอ
,วัดหนองขนาก
,วัดหนองปลิง
,วัดหนองสะเดา
,วัดคลองห้า
,วัดราษฎร์บำรุงวนาราม
,วัดศรีปทุม
,วัดหนองโรง
,วัดใหม่เทพนิมิตร
,วัดเขาน้อย
,วัดบ้านลาด
,วัดมุจลินทสราราม
,วัดห้วยขมิ้น
,วัดห้วยทองหลาง
,วัดพัชรบรรพตวราราม
,วัดห้วยทราย
,วัดราษฎร์สามัคคี
,วัดโสรกโขมง
,วัดพระพุทธแสงธรรม
,วัดไก่เส่า
,วัดบ้านใหม่
,วัดหนองหญ้าปล้อง
,วัดเขาไกรลาศ
,วัดงิ้วงาม
,วัดหนองกระธาตุ
,วัดหนองกวางโจน
,วัดหนองนกชุม
,วัดหนองหลัว
,วัดม่วงหวาน
,วัดอู่ตะเภา
,วัดหนองกบ
,วัดหนองทางบุญ
,วัดท่าราบ
,วัดหนองพลับ
,วัดโคกน้อย
,วัดหนองกีบม้า
,วัดหนองน้ำสร้าง
,วัดหนองหอย
,วัดบ้านขาม
,วัดบ้านโดน
,วัดหนองสีดา
,วัดหนองหัวโพธิ์
,วัดกองทองสว่างอารมณ์
,วัดทองย้อย
,วัดหนองแร่
,วัดดงสัก
,วัดบ้านคลอง
,วัดสองคอน
,วัดสุวรรณคีรีบ้านกลับ
,วัดหลังสวน
,วัดโปร่งเก่า
,วัดโป่รงสว่าง
,วัดโปร่งหัวถนน
,วัดคลองบุญ
,วัดตอยาง
,วัดป่าแหน
,วัดศรีนวลตอยาง
,วัดหนองโดน
,วัดหนองระกำ
สิงห์บุรี,วัดพระนอนจักรสีห์วรวิหาร
,วัดพิกุลทอง
,วัดโบสถ์
,วัดตะโกรวม
,วัดวังกะจับ
,วัดกลางท่าข้าม
,วัดโพธิ์ศรี
,วัดสาธุการาม
,วัดขุนสงฆ์
,วัดประดับ
,วัดโพธิ์เก้าต้น
,วัดยายสร้อย
,วัดสี่เหลี่ยม
,วัดคลองระมาน
,วัดดอนตะโหนด
,วัดบ้านกลับ
,วัดโพธิ์ทะเลใต้
,วัดราษฎร์บำรุง
,วัดโพธิ์สังฆาราม
,วัดฟูก
,วัดม่วง
,วัดสิงห์สุทธาวาส
,วัดหนองกระทุ่ม
,วัดโพสังโฆ
,วัดเสมาทอง
,วัดจำปาทอง
,วัดเสาธงหิน
,วัดโสภา
,วัดวิหารขาว
,วัดดอนกะเชา
,วัดดอนไผ่ใหญ่
,วัดพระปรางค์
,วัดโพธิ์รัตนาราม
,วัดโพธิ์สุทธาลัย
,วัดโพธิ์หอมสุทธาราม
,วัดบ้านจ่า
,วัดหนองโขลง
,วัดหนองชะโด
,วัดกลางชูศรีเจริญสุข
,วัดกิ่งประดิษฐ์
,วัดดงบ้านกร่าง
,วัดห้วยเจริญสุข
,วัดช่องลม
,วัดชันสูตร
,วัดน้ำผึ้ง
,วัดวังขรณ์
,วัดหลังสระ
,วัดสะเดา
,วัดสุขใจดี
,วัดแหลมคาง
,วัดจุกคลี
,วัดดาวเรือง
,วัดตลาดโพธิ์
,วัดม่วงชุม
,วัดใหญ่
,วัดคีมราษฎร์ศรัทธาธรรม
,วัดธรรมเจดีย์
,วัดสระแจง
,วัดสามัคคีธรรม
,วัดท่าวนธรรมรังษี
,วัดน้อยนางหงษ์
,วัดประสิทธิ์คุณากร
,วัดโคนอน
,วัดกุฎีทอง
,วัดโพธิ์เอน
,วัดโภคาภิวัฒน์
,วัดมงกุฏแก้ว
,วัดหลวง
,วัดอุตมพิชัย
,วัดกลางธนรินทร์
,วัดคู
,วัดจินดามณี
,วัดพุทธาราม
,วัดเสาธงทอง
,วัดเก้าชั่ง
,วัดโคปูน
,วัดตราชู
,วัดตาเถร
,วัดศรีพรหมประสิทธิ์
,วัดพรหมบุรี
,วัดอัมพวัน
,วัดชีปะขาว
,วัดเตย
,วัดทุ่ง
,วัดประสาท
,วัดราหุล
,วัดสิงห์
,วัดเทพมงคล
,วัดป่าหวาย
,วัดพรหมเทพาวาส
,วัดหัวป่า
,วัดนาคนันทาราม
,วัดแค
,วัดจักรสีห์
,วัดกลางพรหมนคร
,วัดคลองสามแยก
,วัดแจ้งพรหมนคร
,วัดยวด
,วัดศรีสาคร
,วัดสว่างอารมณ์
,วัดกระดังงาบุปผาราม
,วัดประโชติการาม
,วัดโพธิ์ลังกา
,วัดสถิตย์วัฒนาราม
,วัดสอาดราษฎร์บำรุง
,วัดพรหมสาคร
,วัดโพธิ์แก้วนพคุณ
,วัดโพธิ์ข้าวผอก
,วัดโพธิ์เงิน
,วัดสังฆราชาวาส
,วัดหัวว่าว
,วัดโคกพระ
,วัดดาวดึงษ์
,วัดโพกรวม
,วัดราษฎร์ประสิทธิ์
,วัดตึกราชา
,วัดพระปรางค์มุนี
,วัดศรัทธาภิรม
,วัดเสฐียรวัฒนดิษฐ์
,วัดข่อยสังฆาราม
,วัดตะโหนด
,วัดธรรมสังเวช
,วัดธัมมจักร
,วัดโพธิ์ชัย
,วัดกระโจม
,วัดน้อย
,วัดโพธิ์สำราญ
,วัดแหลมทอง
,วัดโฉมศรี
,วัดบางปูน
,วัดระนาม
,วัดราษฎร์ศรัทธาทำ
,วัดกลาง
,วัดคลองโพธิ์ศรี
,วัดเชียงราก
,วัดดงยาง
,วัดพระปรางค์สามยอด
,วัดล่องกะเบา
,วัดธรรมจักรสิทธาราม
,วัดปากแรต
,วัดพระนอน
,วัดยาง
,วัดสุทธาวาส
,วัดกำแพง
,วัดเกาะแก้ว
,วัดแจ้ง
,วัดตุ้มหู
,วัดท่าอิฐ
,วัดหัวดง
,วัดโฆสิทธาราม
,วัดทอง
,วัดดอกไม้
,วัดปลาไหล
,วัดเสือข้าม
,วัดบ้านลำ
,วัดการ้อง
,วัดหนองสุ่ม
,วัดเฉลิมมาศ
,วัดประศุก
,วัดปราสาท
,วัดพงษ์สุวรรณวราราม
,วัดโพธิ์ล้ม
,วัดเพิ่มประสิทธิผล
,วัดเซ่าสิงห์
,วัดกฤษณเวฬุพุทธาราม
,วัดสาลโคดม
,วัดศรีจุฬามณี
,วัดศรีสำราญ
,วัดกระทุ่มปี่
,วัดสองพี่น้อง
สุโขทัย,วัดพระศรีรัตนมหาธาตุราชวรวิหาร
,วัดสว่างอารมณ์วรวิหาร
,วัดหนองโว้ง
,วัดราษฏร์ศรัทธาธรรม
,วัดกกแรต
,วัดคลองตะเข้
,วัดทุ่งขวิด
,วัดป่ารัง
,วัดสิงห์ทอง
,วัดกงไกรลาศ
,วัดเนินหว้า
,วัดท่าทราย
,วัดสงฆาราม
,วัดดอนสัก
,วัดศรีเมือง
,วัดคุ้งยาง
,วัดดอนแค
,วัดโบสถ์
,วัดเกาะ
,วัดประกาย
,วัดป่ามะม่วง
,วัดหนองบัว
,วัดดงเดือย
,วัดดงยาง
,วัดโพธิ์หอม
,วัดข่อมตาล
,วัดท่าฉนวน
,วัดบ้านกร่าง
,วัดเกตุวนาราม
,วัดใหม่โพธิ์ทอง
,วัดใหม่สุขเกษม
,วัดบึงครอบศรัทธาราม
,วัดเต่าทอง
,วัดไพรงาม
,วัดทุ่งเนินพยอม
,วัดเนินกระชาย
,วัดใหม่ไทยบำรุง
,วัดอินทรีศรีสังวร
,วัดหนองตูม
,วัดเขาลานพระวนาราม
,วัดศรีคีรีสุวรรณาราม
,วัดธรรมปัญญาราม
,วัดวาลุการาม
,วัดหนองกก
,วัดทุ่งยั้งเมือง
,วัดดุสิตดาราม
,วัดบึง
,วัดบึงภูเต่า
,วัดลาย
,วัดขุนนาวัง
,วัดเชิงคีรี
,วัดนากาหลง
,วัดหมอสามัคคีธรรม
,วัดน้ำพุ
,วัดวังเงิน
,วัดนาไผ่ล้อม
,วัดนาสระลอย
,วัดเนินยาง
,วัดบ้านป้อม
,วัดวังกร่าง
,วัดสามพวง
,วัดหนองแหวน
,วัดภาวนาราม
,วัดบึงสนมเสนาราม
,วัดมุจลินทราราม
,วัดหนองสะแกทอง
,วัดใหม่เจริญผล
,วัดใหม่สามัคคีธรรม
,วัดคลองน้ำเย็น
,วัดกลางดง
,วัดเชิงผา
,วัดบึงบอน
,วัดโป่งฝาง
,วัดม่อนจำศีล
,วัดแม่บ่อทอง
,วัดหนองผักบุ้ง
,วัดหัวฝาย
,วัดม่อนศรีสมบุรณาราม
,วัดเขาแร่
,วัดเด่นดีหมี
,วัดท่าชุม
,วัดทุ่งเสลี่ยม
,วัดม่อนหินขาว
,วัดเทพนม
,วัดพิพัฒน์มงคล
,วัดวังธาร
,วัดเหมืองนา
,วัดคลองสำราญ
,วัดท่าต้นธงชัย
,วัดฝั่งหมิ่น
,วัดแม่ทุเลา
,วัดหนองหมื่นชัย
,วัดเขาแก้วชัยมงคล
,วัดโค้งเจริญ
,วัดท่าวิเศษ
,วัดวิเศษสมบูรณ์
,วัดสามหลัง
,วัดแสงสว่าง
,วัดใหญ่ชัยมงคล
,วัดตลิ่งชัน
,วัดลานกระบือ
,วัดวังลึก
,วัดวังหาด
,วัดวังแดด
,วัดสังฆาราม
,วัดลานหอย
,วัดหนองไม้กอง
,วัดวังน้ำขาว
,วัดห้วยไคร้
,วัดใหม่คลองอุดม
,วัดคลองเจริญ
,วัดวังตะคร้อ
,วัดหนองจิกตีนเนิน
,วัดขุนช้าง
,วัดตาลเตี้ย
,วัดยางเอน
,วัดคูหาสุวรรณ
,วัดไทยชุมพล
,วัดราชธานี
,วัดศรีเสวตวนาราม
,วัดกำแพงงาม
,วัดบ้านขวาง
,วัดศรีโพธิ์งาม
,วัดพลายชุมพล
,วัดคลองตะเคียน
,วัดคุ้งยางใหญ่
,วัดอมราวาส
,วัดบึงวนาราม
,วัดป่าเรไร
,วัดฤทธิ์ศิริราษฎร์เจริญธรรม
,วัดหนองทอง
,วัดกระชงคาราม
,วัดราชพฤกษ์
,วัดวังแดง
,วัดเนินมะนาว
,วัดศรีมหาโพธิ์
,วัดบางคลอง
,วัดราษฎร์ศรัทธาธรรม
,วัดคงคามาลัย
,วัดลัดทรายมูล
,วัดโซกเป็ด
,วัดถ่ำแม่ย่า
,วัดนาโพธิ์
,วัดตระพังทอง
,วัดตระพังทองหลาง
,วัดบ้านนา
,วัดปากคลอง
,วัดพระพายหลวง
,วัดคุณาพรบูรพาจารย์
,วัดเขาน้อย
,วัดวังวน
,วัดเซตุพน
,วัดนกยูงทอง
,วัดเขาพระบาทใหญ่
,วัดเขาพระบาทน้อย
,วัดศรีชุม
,วัดยางซ้าย
,วัดวังสวรรค์
,วัดวังทองแดง
,วัดสำนัก
,วัดไสยาศน์
,วัดหนองตาโชติ
,วัดศรีสหกรณ์
,วัดศิริบูรณาราม
,วัดทุ่งมหาชัย
,วัดจันวนาประชากร
,วัดบึงสวย
,วัดปัจจันตคารามวาสี
,วัดน้ำขุม
,วัดบ้านคลอง
,วัดบ่อทองอุดมธรรม
,วัดบ้านเหมือง
,วัดดงคู่
,วัดห้วยติ่ง
,วัดชัยสิทธาราม
,วัดดงพริกแจว
,วัดศรีสัชนาลัย
,วัดศาลาไก่ฟุบ
,วัดบ้านแก่ง
,วัดปากคะยาง
,วัดป่าบ้านลำโชค
,วัดศรีสวรรค์
,วัดจอมแจ้ง
,วัดต้นสนโพธาราม
,วัดนาต้นจั่น
,วัดปลายนา
,วัดม่อนแก้ว
,วัดศรีเชลียง
,วัดใหม่แสงทอง
,วัดดอยไก่แก้ว
,วัดดอยรัตนมณี
,วัดทุ่งพล้อ
,วัดป่างิ้ว
,วัดแม่ราก
,วัดวังค่า
,วัดเกาะระเบียง
,วัดดอนระเบียง
,วัดตอสัก
,วัดถาวรโพธิการาม
,วัดท่าโพธิ์
,วัดธรรมิการาม
,วัดแม่สำเหนือ
,วัดผาคำ
,วัดพงเสลียง
,วัดแม่เทินใต้
,วัดแม่เทินเหนือ
,วัดแม่ฮู้
,วัดสุเม่น
,วัดห้วยโป้
,วัดโบราณหลวง
,วัดโพธิยาราม
,วัดสารจิตร
,วัดแสนตอ
,วัดเกาะน้อยตะวันตก
,วัดเกาะน้อยตะวันออก
,วัดทะเลลอย
,วัดป่ายาง
,วัดหนองอ้อ
,วัดบ้านใหม่
,วัดโบสถ์มณีราม
,วัดภูธาตุเจดีย์
,วัดหาดสูง
,วัดหาดเสี้ยว
,วัดคลองเขนง
,วัดทุ่ง
,วัดวงฆ้อง
,วัดหนองกระดี่
,วัดฉิมพลี
,วัดโพธาราม
,วัดหนองรั้งเหนือ
,วัดเกาะวงษเกียรติ์
,วัดเตว็ดกลาง
,วัดทับผึ้ง
,วัดราษฎร์ศรัทธาราม
,วัดศรีสังวร
,วัดถ้ำระฆัง
,วัดนาขุนไกร
,วัดราวต้นจันทน์
,วัดวังสมบูรณ์
,วัดวังไฟไหม้
,วัดขุนตาลด
,วัดบ้านซ่าน
,วัดปากคลองแดน
,วัดศรีสำราญ
,วัดโคกกระทือ
,วัดดอนจันทร์
,วัดบ้านไร่
,วัดหนองเรียง
,วัดวังทอง
,วัดเกาะไม้แดง
,วัดหนองรั้งใต้
,วัดเตว็ดใน
,วัดราษฎร์บำรุง
,วัดวังใหญ่
,วัดหนองฝาด
,วัดหนองแหน
,วัดคลองโป่ง
,วัดนิคมศรีสำโรง
,วัดโสภาราม
,วัดกรงทอง
,วัดคลองกระจง
,วัดคลองยาง
,วัดคลองวังทอง
,วัดโป่งมะขาม
,วัดไผ่ตะล่อม
